English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=hmd	China															1												https://www.scriptureearth.org/data/hmd/video/JESUSFilm-hmd.txt							https://www.scriptureearth.org/data/hmd/video/Magdalena-hmd.txt											language map: https://joshuaproject.net/languages/hmd	
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aiw	Ethiopia															1												https://www.scriptureearth.org/data/aiw/video/JESUSFilm-aiw.txt																		language map: https://joshuaproject.net/languages/aiw	
Aatasara South Tairora	Tairora, South	omw	vinat		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=omw&ROD_Code=vinat	Papua New Guinea															1								1																						language map: https://joshuaproject.net/languages/omw	
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=bzy	Nigeria															1																														language map: https://joshuaproject.net/languages/bzy	
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aau	Papua New Guinea	27				1				unknown						1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.aau.nt.apk		New Testament: https://virtualstorehouse.org/products/abau-nt-aau	https://live.bible.is/bible/AAUWBT/Mat/1	https://www.bible.com/bible/1015/MAT.1	https://globalrecordings.net/en/language/519	1	https://www.scriptureearth.org/data/aau/study/AbauNT.jar	https://www.scriptureearth.org/data/aau/study/aau.bbl.mybible		https://www.scriptureearth.org/data/aau/video/JESUSFilm-aau.txt																		language map: https://joshuaproject.net/languages/aau	
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abi	Côte dꞌIvoire															1		Appli: la Bible en abidji - Nouveau Testament avec audio: https://play.google.com/store/apps/details?id=org.ipsapps.cotedivoire.abi.abidji.bible			https://live.bible.is/bible/ABIWBT/Mat/1		https://www.globalrecordings.net/en/language/abi					https://www.scriptureearth.org/data/abi/video/JESUSFilm-abi.txt																		language map: https://joshuaproject.net/languages/abi	
Abkhaz	Abzhui, Bzyb, Samurzakan, Abkhazian, Abxazo	abk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abk	Georgia, Turkey															1							https://www.globalrecordings.net/en/language/abk																							language map: https://joshuaproject.net/languages/abk	
Abuan	Abua	abn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abn	Nigeria															1		https://play.google.com/store/apps/details?id=org.wycliffe.abn.abuan.bible																												language map: https://joshuaproject.net/languages/	
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=kgr	Indonesia															1							https://www.globalrecordings.net/en/language/kgr																							language map: https://joshuaproject.net/languages/kgr	
Aceh	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie, Tunong, Pedir, Timu, Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh	ace			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ace	Indonesia															1							https://www.globalrecordings.net/en/language/ace					https://www.scriptureearth.org/data/ace/video/JESUSFilm-ace.txt																		language map: https://joshuaproject.net/languages/ace	
Achagua	Ajagua, Xagua	aca			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aca	Colombia	10		unknown						unknown						1		https://play.google.com/store/apps/details?id=org.scriptureearth.aca.nt.apk		New Testament portions: https://virtualstorehouse.org/products/achagua-nt-aca	https://live.bible.is/bible/ACAWBT/MRK/1	https://www.bible.com/bible/1418/MAT.1	https://www.globalrecordings.net/en/language/aca			https://www.scriptureearth.org/data/aca/study/aca.bbl.mybible											https://www.scriptureearth.org/data/aca/video/aca-ScrSlide.txt ## https://www.scriptureearth.org/data/aca/video/aca-ScrSlide-download.txt									languages of Colombia: https://maps.google.com/maps/ms?msid=205343742597758645576.00049d00be1a95cb17fc4&msa=0	
Ache	Ache gatu, Ache purä, Ache wa, Ñacunday River Ache, Ache irollä, Ache-Guayaki, Axé	guq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=guq	Paraguay															1							https://www.globalrecordings.net/en/language/guq																							language map: https://joshuaproject.net/languages/guq	
Achí	Rabinal K'iche', Rabinal Achí, Cubulco Achi, Maya Achi, Rabinal Achi, Achi, Qach'a'teem	acr		traditional alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&Variant_Code=a	Guatemala, Guatemala	27	260			1	1									1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.acrt.nt.apk	https://www.scriptureearth.org/data/acr/study/acrT_Achi_Rabinal-T_Biblia-4.7.apk: version 4.7 (Android 2.3.3 minimum)	New Testament (Traditional Alphabet): https://virtualstorehouse.org/products/rabinal-achi-nt-acr-traditional-alphabet		Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRTNT): https://www.bible.com/bible/513/MAT.1 ## Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	https://globalrecordings.net/en/program/C09570	1		https://www.scriptureearth.org/data/acr/study/acr-t.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-a.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&ll=15.178181,-90.373535&spn=2.300726,4.191284&t=h&z=8	
Achí	Rabinal K'iche', Rabinal Achí	acr		new alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&Variant_Code=b	Guatemala, Guatemala	27	260			1	1									1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.acrn.nt.apk	https://www.scriptureearth.org/data/acr/study/acrN_Achi_Rabinal-N_Biblia-4.7.apk: Version 4.7	New Testament: https://virtualstorehouse.org/products/rabinal-achi-nt-acr-new-alphabet	https://live.bible.is/bible/ACRNNT/mat/1	Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	https://globalrecordings.net/en/program/C09570	1		https://www.scriptureearth.org/data/acr/study/acr-n.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-b.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&ll=15.178181,-90.373535&spn=2.300726,4.191284&t=h&z=8	
Achiꞌ, Cubulco		acr	2098		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&ROD_Code=2098	Guatemala	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.acrc.nt.apk		New Testament: https://virtualstorehouse.org/products/achi-de-cubulco-nt-acc	https://live.bible.is/bible/ACCIBS/Mat/1	I 'utz laj tzij re i dios (ACRNT): https://www.bible.com/bible/3/MAT.1	https://globalrecordings.net/en/program/C14170	1	https://www.scriptureearth.org/data/acr/study/accNT.jar	https://www.scriptureearth.org/data/acr/study/acc.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-02098.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&t=h&z=7	
Acholi	Acoli, Acooli, Akoli, Atscholi, Dok Acoli, Gang, Log Acoli, Lwo, Shuli, Dhopaluo, Chope, Chopi, Lwoo, Lëbacoli	ach			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ach	South Sudan, Uganda															1							https://www.globalrecordings.net/en/language/ach					https://www.scriptureearth.org/data/ach/video/JESUSFilm-ach.txt																			
Achuar-Shiwiar	Achual, Achuale, Achuar, Achuara, Jivaro, Maina, Achiar chícham, Achuar-Shiviar, Achuar-Shiwiara, Achuare, Achuár chícham, Ashuar, Atchuara, Shiwiar chícham, Áints, Shiwiar	acu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acu	Peru			unknown						unknown						1		https://play.google.com/store/apps/details?id=org.scriptureearth.acu.pb.apk		New Testament with Old Testament portions: https://virtualstorehouse.org/products/achuar-nt-with-ot-portions-acu?_pos=1&_sid=5b11c934a&_ss=r	https://live.bible.is/bible/ACUTBL/Mat/1	Yuse chichame aarmauri; Yaanchuik, Chicham; Yam: https://www.bible.com/bible/4/MAT.1 ## https://www.bible.com/bible/1295/MAT.1	https://globalrecordings.net/en/program/C20650	1	https://www.scriptureearth.org/data/acu/study/Achuar-ShiwiarNT.jar	https://www.scriptureearth.org/data/acu/study/acu.bbl.mybible		https://www.scriptureearth.org/data/acu/video/JESUSFilm-acu.txt								https://www.scriptureearth.org/data/acu/video/acu-JohnSlide.txt ## https://www.scriptureearth.org/data/acu/video/acu-JohnSlide-download.txt	https://www.scriptureearth.org/data/acu/video/acu-ScrSlide.txt ## https://www.scriptureearth.org/data/acu/video/acu-ScrSlide-download.txt									language map: https://joshuaproject.net/languages/acu	
Adele	Bedere, Bidire, Gadre, Gidere, Gidire, Lower Adele, Upper Adele	ade			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ade	Ghana, Togo															1		https://play.google.com/store/apps/details?id=com.adele.ghana.bible&hl=en			https://live.bible.is/bible/ADETBL		https://globalrecordings.net/en/langcode/ade					https://www.scriptureearth.org/data/ade/video/JESUSFilm-ade.txt																		language map: https://joshuaproject.net/languages/ade	
Adi	Luoba, Boga'er, Abor, Adi-Bokar, Bengni-Boga'er, Boga'er, Bokar, Lho-Pa, Lhoba, Ashing, Bori, Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam, Boga'er Luoba, Milan, Abhor, Bori-Karko, Luoba	adi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=adi	China, India															1						DEENA BAIBÉL (BSI) (ADI-BSI): https://www.bible.com/en-GB/bible/1530/MAT.1																									
Adioukrou	Adjukru, Adyoukrou, Adyukru, Ajukru, Mɔjukru, Mojukru	adj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=adj	Côte dꞌIvoire	27				1				unknown						1		Appli: la Bible en adioukrou - Nouveau Testament avec audio: https://play.google.com/store/apps/details?id=org.scriptureearth.adj.nt.apk			https://live.bible.is/bible/ADJWBT/Mat/1	Adioukrou NT (ADJNT): https://www.bible.com/en-GB/bible/1462/MAT.1	https://globalrecordings.net/en/language/2555			https://www.scriptureearth.org/data/adj/study/adj.bbl.mybible		https://www.scriptureearth.org/data/adj/video/JESUSFilm-adj.txt																		language map: https://joshuaproject.net/languages/adj	
Adygey	Adygei, Adygey, Kiakh, Kjax, Lower Circassian, Lowland Adyghe, West Circassian, Western Adyghe, Western Circassian, Adyghe, Abadzex, Bezhedukh, Natuzaj, Shapsug, Xakuchi, Abadzakh, Abadzeg, Bzedux, Bzhedug, Chemgui, Natukhai, Sapsug, Shapsugi, Temirgoj, Adəgăbză, Cherkes	ady			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ady	Iraq, Israel, Jordan, Macedonia, Russia, Syria, Turkey															1		Proverbs: https://play.google.com/store/apps/details?id=org.ibt.adyghe.pritchi.sab		Bible: https://www.zakbijbelbond.nl/en/haitian-creole-bibles/		Къэбарышӏур (Инджыл) (ADGNT14): https://www.bible.com/bible/2157/MAT.1	https://globalrecordings.net/en/language/3853					https://www.scriptureearth.org/data/ady/video/JESUSFilm-ady.txt																	https://ibt.org.ru/en/text?m=ADG&l=Gen&g=0	language map: https://joshuaproject.net/languages/ady	
Adzera	Acira, Atsera, Atzera, Azera, Amari, Guruf-Ngariawang, Ngarowapum, Tsumanggorun, Yarus, Ngariawan	adz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=adz	Papua New Guinea							1		1						1	1					https://www.bible.com/bible/1229/MAT.1	https://globalrecordings.net/en/language/524	1				https://www.scriptureearth.org/data/adz/video/JESUSFilm-adz.txt																		language map: https://joshuaproject.net/languages/adz	
Afar	Afaraf, Qafar, Qafar af, ʿAfár af, Aussa, Ba'adu, Central Afar, Northern Afar, Baadu, Adal, Affar, Affarigna	aar			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aar	Djibouti, Eritrea, Ethiopia															1																			https://www.scriptureearth.org/data/aar/video/Magdalena-aar.txt												
Afrikaans		afr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=afr	Botswana, Malawi, Namibia, South Africa, Swaziland, Zambia															1				Bible: https://www.zakbijbelbond.nl/en/haitian-creole-bibles/ ## https://multilanguagemedia.org/languages/afrikaans/	 - Afrikaana Die Bybel in Afrikaans 1983-vertaling: https://live.bible.is/bible/AFRLPF/	Nuwe Lewende Vertaling (NLV): https://www.bible.com/bible/117/MAT.1 ## Bybel vir almal (ABA): https://www.bible.com/bible/2/MAT.1 ## Afrikaans 1933/1953 (AFR53): https://www.bible.com/bible/5/MAT.1 ## Die Boodskap (DB): https://www.bible.com/bible/50/MAT.1 ## Afrikaans 1983 (AFR83): https://www.bible.com/bible/6/MAT.1						https://www.scriptureearth.org/data/afr/video/JESUSFilm-afr.txt							https://www.scriptureearth.org/data/afr/video/Magdalena-afr.txt												
Agarabi	Agarabe, Bare, Bare	agd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agd	Papua New Guinea	27				1										1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.agd.nt.apk		New Testament: https://virtualstorehouse.org/products/agarabi-nt-agd			https://globalrecordings.net/en/language/4760	1	https://www.scriptureearth.org/data/agd/study/AgarabiNT.jar	https://www.scriptureearth.org/data/agd/study/agd.bbl.mybible		https://www.scriptureearth.org/data/agd/video/JESUSFilm-agd.txt																		language map: https://joshuaproject.net/languages/agd	
Agatu	North Idoma, Ochekwu	agc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agc	Nigeria															1																														language map: https://joshuaproject.net/languages/agc	
Aghem	Aghɨ̂m, Wum, Yum	agq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agq	Cameroon															1						YouVersion.com: https://www.bible.com/bible/2620/MAT.1.AGQ	https://www.globalrecordings.net/en/language/agq					https://www.scriptureearth.org/data/agq/video/JESUSFilm-agq.txt																		language map: https://joshuaproject.net/languages/agq	
Agta, Casiguran Dumagat	Casiguran Dumagat, Agta, Agta Casiguran, Casiguran Agta	dgc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=dgc	Philippines	27				1				unknown						1		https://play.google.com/store/apps/details?id=org.scriptureearth.dgc.nt.apk				https://www.bible.com/bible/1170/MAT.1	https://globalrecordings.net/en/language/2317	1	https://www.scriptureearth.org/data/dgc/study/Agta_CasiguranDumagatNT.jar	https://www.scriptureearth.org/data/dgc/study/dgc.bbl.mybible																				language map: https://joshuaproject.net/languages/dgc	
Agta, Central Cagayan	Labin Agta, Agta	agt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agt	Philippines	27				1				unknown						1		https://play.google.com/store/apps/details?id=org.scriptureearth.agt.nt.apk		New Testament: https://virtualstorehouse.org/products/agta-central-cagayan-nt-agt		https://www.bible.com/bible/1244/MAT.1	https://globalrecordings.net/en/language/1891	1	https://www.scriptureearth.org/data/agt/study/Agta_CentralCagayanNT.jar	https://www.scriptureearth.org/data/agt/study/agt.bbl.mybible																				language map: https://joshuaproject.net/languages/agt	
Agta, Dupaninan	Dupaningan Agta, Eastern Cagayan Agta, Barongagunay, Bolos Point, Camonayan, Palaui Island, Peñablanca, Roso, Santa Ana-Gonzaga, Santa Margarita, Tanglagan, Valley Cove, Yaga, Southeast Cagayan, Eastern Cagayan Agta	duo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=duo	Philippines	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.duo.nt.apk		New Testament: https://virtualstorehouse.org/products/agta-dupaninan-nt-duo	https://live.bible.is/bible/DUOWBT/Mat/1	https://www.bible.com/bible/1312/MAT.1	https://www.globalrecordings.net/en/language/duo		https://www.scriptureearth.org/data/duo/study/Agta_DupaninanNT.jar	https://www.scriptureearth.org/data/duo/study/duo.bbl.mybible																				language map: https://joshuaproject.net/languages/duo	
Agta, Pahanan	Pahanan, Palanan Agta	apf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=apf	Philippines															1							https://www.globalrecordings.net/en/language/apf																							language map: https://joshuaproject.net/languages/apf	
Agta, Umiray Dumaget	Umiray Agta, Umirey Dumagat, Anglat Agta, Polillo Island Agta, Dumagat-Bulos, Dumaget-Bulus, Umirey Dumagat	due			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=due	Philippines			unknown						unknown						1		https://play.google.com/store/apps/details?id=org.scriptureearth.due.nt.apk		New Testament: https://virtualstorehouse.org/products/agta-umiray-dumaget-nt-due	https://live.bible.is/bible/DUEWBT/Mat/1		https://globalrecordings.net/en/language/2319			https://www.scriptureearth.org/data/due/study/due.bbl.mybible ## https://www.scriptureearth.org/data/due/study/due.bbl.mybible																				language map: https://joshuaproject.net/languages/due	
Agul	Aghul, Fit'e, Gequn, Keren, Koshan, Tsirkhe, Burkikhan, Q'ushan, Aghul-ch'al, Agiul Shui	agx			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agx	Russia															1		Bible app for Android: https://play.google.com/store/apps/details?id=aghul.book				Лукайин Китаб Месигь Ӏисайихъас Идже Хабар (AGU: https://www.bible.com/bible/2080/MAT.1	https://www.globalrecordings.net/en/language/agx																						https://ibt.org.ru/en/media?id=AGL ## https://ibt.org.ru/en/text?m=AGL&l=Luke&g=0	language map: https://joshuaproject.net/languages/agx	
Agutaynen	Agutayno, Agutaynon, Agutayano, Agutaynon	agn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=agn	Philippines	27				1										1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.agn.nt.apk		New Testament: https://virtualstorehouse.org/products/agutaynen-nt-agn	https://live.bible.is/bible/AGNWPS/Mat/1	https://www.bible.com/bible/1124/MAT.1	https://globalrecordings.net/en/language/258	1	https://www.scriptureearth.org/data/agn/study/agn-AngBitalatangDios.jar	https://www.scriptureearth.org/data/agn/study/agn.bbl.mybible			https://www.scriptureearth.org/data/agn/video/LukeVideo-agn.txt																	language map: https://joshuaproject.net/languages/agn	
Ahanta	Ayɩnda	aha			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aha	Ghana															1																														language map: https://joshuaproject.net/languages/aha	
Ahirani	अहिराणी, Ahiri	ahr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ahr	India			unknown						unknown						1		https://play.google.com/store/apps/details?id=org.ips.ahrbible.ahirani					https://globalrecordings.net/en/langcode/ahr																					http://www.freebiblesindia.in/bible/ahr ## http://www.biblesindia.com		language map: https://joshuaproject.net/languages/ahr	
Aikana	Masaká, Tubanao, Massaca, Aikanã, Aikaná, Corumbiara, Huari, Kasupá, Kolumbiara, Mondé, Tubarão, Uari, Wari	tba			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=tba	Brazil															1																														language map: https://joshuaproject.net/languages/tba	
Aimol	Langrong	aim			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aim	India			unknown						unknown						1						https://www.bible.com/bible/1533/MAT.1	https://www.globalrecordings.net/en/language/aim																							language map: https://joshuaproject.net/languages/aim	
Ainu	Hokkaido, Kuril, Sakhalin, Taraika, Ezo, Saghilin, Shikotan, Tsishima, Yezo, Ainu Itak	ain			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ain	Japan															1						Ashiri Aeuitaknup 1897 (AINU): https://www.bible.com/en-GB/bible/1944/MAT.1	https://www.globalrecordings.net/en/language/ain																							language map: https://joshuaproject.net/languages/ain	
Aja-Gbe	Dogbo, Hwe, Sikpi, Tado, Tala, Ehoue, Shikpi, Tadou, Aja, Adja, Ajagbe, Hwè, Dogo	ajg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ajg	Benin, Togo			unknown						unknown						1												https://www.scriptureearth.org/data/ajg/video/JESUSFilm-ajg.txt																			
Ajië	A'jie, Anjie, Houaïlou, Waawilûû, Wai, Wailu	aji			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aji	New Caledonia															1							https://www.globalrecordings.net/en/language/aji																							language map: https://joshuaproject.net/languages/aji	
Ajyininka Apurucayali	Ajyéninka, Apurucayali Campa, Ashaninca, Ashéninca Apurucayali, Axininka Campa, Campa, Ajyíninka Apurucayali, Ashaninca, Ashéninca Apurucayali	cpc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=cpc	Peru	27				1										1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.cpc.nt.apk					https://www.globalrecordings.net/en/language/cpc	1		https://www.scriptureearth.org/data/cpc/study/cpc.bbl.mybible																				Languages of Peru: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049d0ac7a6bcc617ed9&t=h&z=5	
Akan: Akuapem	Akan, Akuapem	aka	02272		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aka&ROD_Code=02272	Ghana															1					https://live.bible.is/bible/AK1UBS/Mat/1							https://www.scriptureearth.org/data/aka/video/JESUSFilm-akaAK.txt																		language map: https://joshuaproject.net/languages/aka	
Akan: Asante	Akan, Asante	aka	00360		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aka&ROD_Code=00360	Ghana															1					 - 1964 New Testament: https://live.bible.is/bible/AKAUBS/mat/1 ##  - Nkwa Asɛm Apam Foforɔ Ne Nnwom (Asante Twi Contemporary Version): https://live.bible.is/bible/AKABIB/MAT/1?audio_type=audio							https://www.scriptureearth.org/data/aka/video/JESUSFilm-akaAS.txt																		language map: https://joshuaproject.net/languages/aka	
Akan: Fante	Akan, Fante, Abura Fanti, Agona, Ahafo, Akuapem, Akyem, Anomabo Fanti, Asante, Asen, Dankyira, Gomua, Kwawu, Achanti, Akuapim, Akwapem Twi, Akwapi, Akyem Bosome, Asanti, Ashante Twi, Fanti, Kwahu, Mfantse, Twi	aka	00181		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aka&ROD_Code=00181	Ghana															1				Fante Bibles: https://www.zakbijbelbond.nl/en/fante-bibles/ ## Twi-Akuapem Bibles: https://www.zakbijbelbond.nl/en/twi-akuapem-bibles/ ## Twi-Asante Bibles: https://www.zakbijbelbond.nl/en/twi-asante-bibles/ ## https://multilanguagemedia.org/languages/fante/	https://live.bible.is/bible/AKAFAN/mat/1							https://www.scriptureearth.org/data/aka/video/JESUSFilm-akaF.txt																		language map: https://joshuaproject.net/languages/aka	
Akawaio	Acahuayo, Acewaio, Akawai, Ingariko, Ingarikó, Acewaio, Akawai, Akawayo, Akwaio, Kapon, Kapóng, Patamona, Ingariko, Acawayo, Waicá, Waika	ake			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ake	Brazil, Guyana, Venezuela	27				1										1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.ake.nt.apk			https://live.bible.is/bible/AKEBSS/Mat/1		https://www.globalrecordings.net/en/language/ake	1		https://www.scriptureearth.org/data/ake/study/ake.bbl.mybible																				languages of Guyana: https://maps.google.com/maps/ms?hl=en&ie=UTF8&msa=0&msid=205343742597758645576.00049d148d570bed2f1c2&t=h&z=6 ## languages of Brazil: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049d0d51d319f4f5b2a&t=h&z=4	
Akebu	Akebou, Akébou, Ekpeebhe, Ekpeebhibhe, Gakagba, Kabu, Kebu, Kegberike, Kǝkpǝǝ-kǝ, Kébou, kekpeerike	keu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=keu	Togo															1																														language map: https://joshuaproject.net/languages/keu	
Akeu	Ake, Aki, Akui, Aki, Akui, Gokhu, Gaolkheel, Akheu, Gokhy	aeu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aeu	China, Laos, Myanmar, Thailand															1			https://www.scriptureearth.org/data/aeu/study/aeu_Akeu_Scripture.apk		https://live.bible.is/bible/AEUWBT/MAT/1?audio_type=audio_drama	https://www.bible.com/bible/1504/MAT.1	https://www.globalrecordings.net/en/language/aeu					https://www.scriptureearth.org/data/aeu/video/JESUSFilm-aeu.txt																			
Akha	Ahka, Aini, Ak'a, Aka, Ikor, Yani, Aini, Ak'a, Aka, Ikor, Yani, Khao Ikor	ahk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ahk	China, Laos, Myanmar, Thailand, Vietnam															1					https://live.bible.is/bible/AHKTBS/Mat/1	Yawshawr Yaerbof Dawqma Sarjax Yawshuif, Jaceuq: https://www.bible.com/bible/2166/MAT.1 ## https://www.bible.com/bible/1722/MAT.1	https://www.globalrecordings.net/en/language/ahk					https://www.scriptureearth.org/data/ahk/video/JESUSFilm-ahk.txt																			
Aklanon	Akeanon, Aklan, Aklano, Aklanon-Bisayan, Inakeanon, Panay	akl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=akl	Philippines															1																														language map: https://joshuaproject.net/languages/akl	
Akoose	Elung, Mwambong, Mwamenam, Ninong, Northern Bakossi, Southern Bakossi, Western Bakossi, Along, Elong, Mouamenam, Nlong, Akose, Akosi, Bafaramani, Bakosi, Bakossi, Bekoose, Koose, Kosi, Kosse, Kossi, Manenguba, Ngoe, Nkoosi, Nkosi	bss			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=bss	Cameroon															1							https://www.globalrecordings.net/en/language/bss	1				https://www.scriptureearth.org/data/bss/video/JESUSFilm-bss.txt																		language map: https://joshuaproject.net/languages/bss	
Akposo	Amou Oblou, Ikponu, Iwi, Litime, Logbo, Uma, Badou, Uwi, Akposso, Ikposo, Ikposso, Kposo	kpo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=kpo	Ghana, Togo															1																															
Akukem	Sepen	spm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=spm	Papua New Guinea															1							https://www.globalrecordings.net/en/language/spm	1																						language map: https://joshuaproject.net/languages/spm	
