English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=hmd	China																											https://www.scriptureearth.org/data/hmd/video/JESUSFilm-hmd.txt							https://www.scriptureearth.org/data/hmd/video/Magdalena-hmd.txt											language map: https://joshuaproject.net/languages/hmd	
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aiw	Ethiopia																				- The Word for the World, 2015: https://live.bible.is/bible/AIWDPI							https://www.scriptureearth.org/data/aiw/video/JESUSFilm-aiw.txt																		language map: https://joshuaproject.net/languages/aiw	
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bzy	Nigeria																											https://www.scriptureearth.org/data/bzy/video/JESUSFilm-bzy.txt																		language map: https://joshuaproject.net/languages/bzy	
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aau	Papua New Guinea	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.aau.nt.apk		New Testament: https://virtualstorehouse.org/products/abau-nt-aau	https://live.bible.is/bible/AAUWBT	https://www.bible.com/bible/1015/MAT.1	https://globalrecordings.net/en/language/519	1	https://www.scriptureearth.org/data/aau/study/AbauNT.jar	https://www.scriptureearth.org/data/aau/study/aau.bbl.mybible		https://www.scriptureearth.org/data/aau/video/JESUSFilm-aau.txt																		language map: https://joshuaproject.net/languages/aau	
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abi	Côte dꞌIvoire																	Appli: la Bible en abidji - Nouveau Testament avec audio: https://play.google.com/store/apps/details?id=org.ipsapps.cotedivoire.abi.abidji.bible			https://live.bible.is/bible/ABIWBT		https://www.globalrecordings.net/en/language/abi					https://www.scriptureearth.org/data/abi/video/JESUSFilm-abi.txt																		language map: https://joshuaproject.net/languages/abi	
Abkhaz	Abzhui, Bzyb, Samurzakan, Abkhazian, Abxazo	abk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abk	Georgia, Turkey																						https://www.globalrecordings.net/en/language/abk					https://www.scriptureearth.org/data/abk/video/JESUSFilm-abk.txt																		language map: https://joshuaproject.net/languages/abk	
Abuan	Abua	abn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abn	Nigeria															1		https://play.google.com/store/apps/details?id=org.wycliffe.abn.abuan.bible				Ạḍinya Iigbia (ẠḌI): https://www.bible.com/en-GB/bible/2632/MAT.1																								language map: https://joshuaproject.net/languages/abn	
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=kgr	Indonesia																				https://live.bible.is/bible/KGRLAI	Sukdu subot os be gato Yefun Allah tom men ne (LAIKGR): https://www.bible.com/en-GB/bible/2864/MAT.1	https://www.globalrecordings.net/en/language/kgr																							language map: https://joshuaproject.net/languages/kgr	
Abure	Abonwa, Abule, Akaplass, Ehie, Eyive, Ossouon, Abouré	abu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abu	Côte dꞌIvoire																	Appli -- Luc en abouré: https://play.google.com/store/apps/details?id=org.ipsapps.cotedivoire.abu.bible.aboure.audio&hl=fr					Enregistrements audio: https://globalrecordings.net/en/language/abu																							language map: https://joshuaproject.net/languages/abu	
Aceh	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie, Tunong, Pedir, Timu, Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh	ace			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ace	Indonesia																				https://live.bible.is/bible/ACEIBS	Alkitab HABA GET (LAIACE): https://www.bible.com/en-GB/bible/2835/MAT.1	https://www.globalrecordings.net/en/language/ace					https://www.scriptureearth.org/data/ace/video/JESUSFilm-ace.txt																		language map: https://joshuaproject.net/languages/ace	
Achagua	Ajagua, Xagua	aca			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aca	Colombia	10		10												1		https://play.google.com/store/apps/details?id=org.scriptureearth.aca.nt.apk		New Testament portions: https://virtualstorehouse.org/products/achagua-nt-aca	https://live.bible.is/bible/ACAWBT	https://www.bible.com/bible/1418/MAT.1	https://www.globalrecordings.net/en/language/aca	1		https://www.scriptureearth.org/data/aca/study/aca.bbl.mybible											https://www.scriptureearth.org/data/aca/video/aca-ScrSlide.txt ## https://www.scriptureearth.org/data/aca/video/aca-ScrSlide-download.txt									language map: https://joshuaproject.net/languages/aca	
Ache	Ache gatu, Ache purä, Ache wa, Ñacunday River Ache, Ache irollä, Ache-Guayaki, Axé	guq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=guq	Paraguay																				LETRA Paraguay - LETRA Version: https://live.bible.is/bible/GUQLPY		https://www.globalrecordings.net/en/language/guq					https://www.scriptureearth.org/data/guq/video/JESUSFilm-guq.txt																		language map: https://joshuaproject.net/languages/guq	
Achí	Rabinal K'iche', Rabinal Achí	acr		new alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acr&var=b	Guatemala, Guatemala	27	260			1	1									1		https://play.google.com/store/apps/details?id=org.scriptureearth.acrn.nt.apk	https://www.scriptureearth.org/data/acr/study/acrN_Achi_Rabinal-N_Biblia-4.7.apk: Version 4.7	New Testament: https://virtualstorehouse.org/products/rabinal-achi-nt-acr-new-alphabet	https://live.bible.is/bible/ACRNNT	Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	https://globalrecordings.net/en/program/C09570	1		https://www.scriptureearth.org/data/acr/study/acr-n.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-b.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&ll=15.178181,-90.373535&spn=2.300726,4.191284&t=h&z=8	
Achí	Rabinal K'iche', Rabinal Achí, Cubulco Achi, Maya Achi, Rabinal Achi, Achi, Qach'a'teem	acr		traditional alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acr&var=a	Guatemala, Guatemala	27	260			1	1									1		https://play.google.com/store/apps/details?id=org.scriptureearth.acrt.nt.apk	https://www.scriptureearth.org/data/acr/study/acrT_Achi_Rabinal-T_Biblia-4.7.apk: version 4.7 (Android 2.3.3 minimum)	New Testament (Traditional Alphabet): https://virtualstorehouse.org/products/rabinal-achi-nt-acr-traditional-alphabet		Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRTNT): https://www.bible.com/bible/513/MAT.1 ## Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	https://globalrecordings.net/en/program/C09570	1		https://www.scriptureearth.org/data/acr/study/acr-t.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-a.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&ll=15.178181,-90.373535&spn=2.300726,4.191284&t=h&z=8	
Achiꞌ, Cubulco		acr	2098		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acr&rod=2098	Guatemala	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.acrc.nt.apk		New Testament: https://virtualstorehouse.org/products/achi-de-cubulco-nt-acc	https://live.bible.is/bible/ACCIBS	I 'utz laj tzij re i dios (ACRNT): https://www.bible.com/bible/3/MAT.1	https://globalrecordings.net/en/program/C14170	1	https://www.scriptureearth.org/data/acr/study/accNT.jar	https://www.scriptureearth.org/data/acr/study/acc.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-02098.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&t=h&z=7	
Acholi	Acoli, Acooli, Akoli, Atscholi, Dok Acoli, Gang, Log Acoli, Lwo, Shuli, Dhopaluo, Chope, Chopi, Lwoo, Lëbacoli	ach			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ach	South Sudan, Uganda																				https://live.bible.is/bible/ACHBSU	Baibul 1985 (ACO85): https://www.bible.com/bible/559/MAT.1	https://www.globalrecordings.net/en/language/ach					https://www.scriptureearth.org/data/ach/video/JESUSFilm-ach.txt																			
Achuar-Shiwiar	Achual, Achuale, Achuar, Achuara, Jivaro, Maina, Achiar chícham, Achuar-Shiviar, Achuar-Shiwiara, Achuare, Achuár chícham, Ashuar, Atchuara, Shiwiar chícham, Áints, Shiwiar	acu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acu	Peru															1		https://play.google.com/store/apps/details?id=org.scriptureearth.acu.pb.apk		New Testament with Old Testament portions: https://virtualstorehouse.org/products/achuar-nt-with-ot-portions-acu?_pos=1&_sid=5b11c934a&_ss=r	https://live.bible.is/bible/ACUTBL/	Yuse chichame aarmauri; Yaanchuik, Chicham; Yam: https://www.bible.com/bible/4/MAT.1 ## https://www.bible.com/bible/1295/MAT.1	https://globalrecordings.net/en/program/C20650	1	https://www.scriptureearth.org/data/acu/study/Achuar-ShiwiarNT.jar	https://www.scriptureearth.org/data/acu/study/acu.bbl.mybible		https://www.scriptureearth.org/data/acu/video/JESUSFilm-acu.txt								https://www.scriptureearth.org/data/acu/video/acu-JohnSlide.txt ## https://www.scriptureearth.org/data/acu/video/acu-JohnSlide-download.txt	https://www.scriptureearth.org/data/acu/video/acu-ScrSlide.txt ## https://www.scriptureearth.org/data/acu/video/acu-ScrSlide-download.txt									language map: https://joshuaproject.net/languages/acu	
Adasen	Eastern Addasen, Western Addasen, Addasen, Addasen Tinguian, Itneg Adasen	tiu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tiu	Philippines																					Ya Baru nga Tulag (YBT): https://www.bible.com/en-GB/bible/2812/MAT.1	https://www.globalrecordings.net/en/language/tiu																							language map: https://joshuaproject.net/languages/tiu	
Adele	Bedere, Bidire, Gadre, Gidere, Gidire, Lower Adele, Upper Adele	ade			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ade	Ghana, Togo															1		Adele and English: https://play.google.com/store/apps/details?id=com.adele.ghana.bible&hl=en ## Adele with video links: https://play.google.com/store/apps/details?id=org.scriptureearth.ade.adele.bible			The Bible League - 1996 Edition: https://live.bible.is/bible/ADETBL		https://globalrecordings.net/en/langcode/ade					https://www.scriptureearth.org/data/ade/video/JESUSFilm-ade.txt								https://www.scriptureearth.org/data/ade/video/ade-JohnSlide.txt ## https://www.scriptureearth.org/data/ade/video/ade-JohnSlide-download.txt	https://www.scriptureearth.org/data/ade/video/ade-ScrSlide.txt ## https://www.scriptureearth.org/data/ade/video/ade-ScrSlide-download.txt									language map: https://joshuaproject.net/languages/ade	
Adi	Luoba, Boga'er, Abor, Adi-Bokar, Bengni-Boga'er, Boga'er, Bokar, Lho-Pa, Lhoba, Ashing, Bori, Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam, Boga'er Luoba, Milan, Abhor, Bori-Karko, Luoba	adi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adi	China, India																					DEENA BAIBÉL (BSI) (ADI-BSI): https://www.bible.com/en-GB/bible/1530/MAT.1						https://www.scriptureearth.org/data/adi/video/JESUSFilm-adi.txt																			
Adioukrou	Adjukru, Adyoukrou, Adyukru, Ajukru, Mɔjukru, Mojukru	adj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adj	Côte dꞌIvoire	27				1										1		Appli: la Bible en adioukrou - Nouveau Testament avec audio: https://play.google.com/store/apps/details?id=org.scriptureearth.adj.nt.apk			https://live.bible.is/bible/ADJWBT	Adioukrou NT (ADJNT): https://www.bible.com/en-GB/bible/1462/MAT.1	https://globalrecordings.net/en/language/2555	1		https://www.scriptureearth.org/data/adj/study/adj.bbl.mybible		https://www.scriptureearth.org/data/adj/video/JESUSFilm-adj.txt																		language map: https://joshuaproject.net/languages/adj	
Adnyamathanha	Ad'n'amadana, Adynyamathanha, Anjimatana, Anjiwatana, Archualda, Atynyamatana, Benbakanjamata, Binbarnja, Gadjnjamada, Jandali, Kanjimata, Keydnjmarda, Mardala, Nimalda, Nuralda, Umbertana, Unyamootha, Wailbi, Wailpi, Waljbi, Wipie	adt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adt	Australia																						https://www.globalrecordings.net/en/language/adt	1																						language map: https://joshuaproject.net/languages/adt	
Adygey	Adygei, Adygey, Kiakh, Kjax, Lower Circassian, Lowland Adyghe, West Circassian, Western Adyghe, Western Circassian, Adyghe, Abadzex, Bezhedukh, Natuzaj, Shapsug, Xakuchi, Abadzakh, Abadzeg, Bzedux, Bzhedug, Chemgui, Natukhai, Sapsug, Shapsugi, Temirgoj, Adəgăbză, Cherkes	ady			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ady	Iraq, Israel, Jordan, Macedonia, Russia, Syria, Turkey																	Proverbs: https://play.google.com/store/apps/details?id=org.ibt.adyghe.pritchi.sab		Bible: https://www.zakbijbelbond.nl/en/haitian-creole-bibles/	- 2014 Edition: https://live.bible.is/bible/ADYIBT	Къэбарышӏур (Инджыл) (ADGNT14): https://www.bible.com/bible/2157/MAT.1	https://globalrecordings.net/en/language/3853					https://www.scriptureearth.org/data/ady/video/JESUSFilm-ady.txt																	https://ibt.org.ru/en/text?m=ADG&l=Gen&g=0	language map: https://joshuaproject.net/languages/ady	
Adzera	Acira, Atsera, Atzera, Azera, Amari, Guruf-Ngariawang, Ngarowapum, Tsumanggorun, Yarus, Ngariawan	adz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adz	Papua New Guinea							1		1							1				https://live.bible.is/bible/engesv ## - 2009 Wycliffe Bible Translators, Inc.: https://live.bible.is/bible/ADZAMV	https://www.bible.com/bible/1229/MAT.1	https://globalrecordings.net/en/language/524	1				https://www.scriptureearth.org/data/adz/video/JESUSFilm-adz.txt																		language map: https://joshuaproject.net/languages/adz	
Afar	Afaraf, Qafar, Qafar af, ʿAfár af, Aussa, Ba'adu, Central Afar, Northern Afar, Baadu, Adal, Affar, Affarigna	aar			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aar	Djibouti, Eritrea, Ethiopia																											https://www.scriptureearth.org/data/aar/video/JESUSFilm-aar.txt							https://www.scriptureearth.org/data/aar/video/Magdalena-aar.txt												
Afrikaans		afr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=afr	Botswana, Malawi, Namibia, South Africa, Swaziland, Zambia																			Bible: https://www.zakbijbelbond.nl/en/haitian-creole-bibles/ ## https://multilanguagemedia.org/languages/afrikaans/	 - Afrikaana Die Bybel in Afrikaans 1983-vertaling: https://live.bible.is/bible/AFRLPF/	Nuwe Lewende Vertaling (NLV): https://www.bible.com/bible/117/MAT.1 ## Bybel vir almal (ABA): https://www.bible.com/bible/2/MAT.1 ## Afrikaans 1933/1953 (AFR53): https://www.bible.com/bible/5/MAT.1 ## Die Boodskap (DB): https://www.bible.com/bible/50/MAT.1 ## Afrikaans 1983 (AFR83): https://www.bible.com/bible/6/MAT.1						https://www.scriptureearth.org/data/afr/video/JESUSFilm-afr.txt							https://www.scriptureearth.org/data/afr/video/Magdalena-afr.txt				https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/afrikaans.html								
Agarabi	Agarabe, Bare	agd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agd	Papua New Guinea	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.agd.nt.apk		New Testament: https://virtualstorehouse.org/products/agarabi-nt-agd	2010 Edition: https://live.bible.is/bible/AGDPNG	https://www.bible.com/bible/935/MAT.1	https://globalrecordings.net/en/language/4760	1	https://www.scriptureearth.org/data/agd/study/AgarabiNT.jar	https://www.scriptureearth.org/data/agd/study/agd.bbl.mybible		https://www.scriptureearth.org/data/agd/video/JESUSFilm-agd.txt																		language map: https://joshuaproject.net/languages/agd	
Agatu	North Idoma, Ochekwu	agc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agc	Nigeria																											https://www.scriptureearth.org/data/agc/video/JESUSFilm-agc.txt																		language map: https://joshuaproject.net/languages/agc	
Aghem	Aghɨ̂m, Wum, Yum	agq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agq	Cameroon																					YouVersion.com: https://www.bible.com/bible/2620/MAT.1.AGQ	https://www.globalrecordings.net/en/language/agq					https://www.scriptureearth.org/data/agq/video/JESUSFilm-agq.txt																		language map: https://joshuaproject.net/languages/agq	
Agta, Casiguran Dumagat	Casiguran Dumagat, Agta, Agta Casiguran, Casiguran Agta	dgc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=dgc	Philippines	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.dgc.nt.apk				https://www.bible.com/bible/1170/MAT.1	https://globalrecordings.net/en/language/2317	1	https://www.scriptureearth.org/data/dgc/study/Agta_CasiguranDumagatNT.jar	https://www.scriptureearth.org/data/dgc/study/dgc.bbl.mybible																				language map: https://joshuaproject.net/languages/dgc	
Agta, Central Cagayan	Labin Agta, Agta	agt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agt	Philippines	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.agt.nt.apk		New Testament: https://virtualstorehouse.org/products/agta-central-cagayan-nt-agt		https://www.bible.com/bible/1244/MAT.1	https://globalrecordings.net/en/language/1891	1	https://www.scriptureearth.org/data/agt/study/Agta_CentralCagayanNT.jar	https://www.scriptureearth.org/data/agt/study/agt.bbl.mybible																				language map: https://joshuaproject.net/languages/agt	
Agta, Dupaninan	Dupaningan Agta, Eastern Cagayan Agta, Barongagunay, Bolos Point, Camonayan, Palaui Island, Peñablanca, Roso, Santa Ana-Gonzaga, Santa Margarita, Tanglagan, Valley Cove, Yaga, Southeast Cagayan	duo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=duo	Philippines	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.duo.nt.apk		New Testament: https://virtualstorehouse.org/products/agta-dupaninan-nt-duo	https://live.bible.is/bible/DUOWBT	https://www.bible.com/bible/1312/MAT.1	https://www.globalrecordings.net/en/language/duo	1	https://www.scriptureearth.org/data/duo/study/Agta_DupaninanNT.jar	https://www.scriptureearth.org/data/duo/study/duo.bbl.mybible																				language map: https://joshuaproject.net/languages/duo	
Agta, Pahanan	Pahanan, Palanan Agta	apf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=apf	Philippines																				https://live.bible.is/bible/APFCMU		https://www.globalrecordings.net/en/language/apf																							language map: https://joshuaproject.net/languages/apf	
Agta, Umiray Dumaget	Umiray Agta, Umirey Dumagat, Anglat Agta, Polillo Island Agta, Dumagat-Bulos, Dumaget-Bulus	due			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=due	Philippines															1		https://play.google.com/store/apps/details?id=org.scriptureearth.due.nt.apk		New Testament: https://virtualstorehouse.org/products/agta-umiray-dumaget-nt-due	https://live.bible.is/bible/DUEWBT	https://www.bible.com/bible/1339/MAT.1	https://globalrecordings.net/en/language/2319	1		https://www.scriptureearth.org/data/due/study/due.bbl.mybible ## https://www.scriptureearth.org/data/due/study/due.bbl.mybible																				language map: https://joshuaproject.net/languages/due	
Agul	Aghul, Fit'e, Gequn, Keren, Koshan, Tsirkhe, Burkikhan, Q'ushan, Aghul-ch'al, Agiul Shui	agx			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agx	Russia																	Bible app for Android: https://play.google.com/store/apps/details?id=aghul.book			- 2005 Institute for Bible Translation, Moscow: https://live.bible.is/bible/AGXIBT	Лукайин Китаб Месигь Ӏисайихъас Идже Хабар (AGU: https://www.bible.com/bible/2080/MAT.1	https://www.globalrecordings.net/en/language/agx																						https://ibt.org.ru/en/media?id=AGL ## https://ibt.org.ru/en/text?m=AGL&l=Luke&g=0	language map: https://joshuaproject.net/languages/agx	
Agutaynen	Agutayno, Agutaynon, Agutayano	agn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agn	Philippines	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.agn.nt.apk		New Testament: https://virtualstorehouse.org/products/agutaynen-nt-agn	https://live.bible.is/bible/AGNWPS	https://www.bible.com/bible/1124/MAT.1	https://globalrecordings.net/en/language/258	1	https://www.scriptureearth.org/data/agn/study/agn-AngBitalatangDios.jar	https://www.scriptureearth.org/data/agn/study/agn.bbl.mybible			https://www.scriptureearth.org/data/agn/video/LukeVideo-agn.txt																	language map: https://joshuaproject.net/languages/agn	
Ahanta	Ayɩnda	aha			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aha	Ghana																											https://www.scriptureearth.org/data/aha/video/JESUSFilm-aha.txt																		language map: https://joshuaproject.net/languages/aha	
Ahirani	अहिराणी, Ahiri	ahr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ahr	India																	https://play.google.com/store/apps/details?id=org.ips.ahrbible.ahirani			- The Word For The World: https://live.bible.is/bible/AHRWFW	प्रेम संदेश (NTAII20): https://www.bible.com/en-GB/bible/2776/MAT.1	https://globalrecordings.net/en/langcode/ahr					https://www.scriptureearth.org/data/ahr/video/https://jesusmessiahcomicmedia.com/ahr-pdf																http://www.freebiblesindia.in/bible/ahr ## http://www.biblesindia.com		language map: https://joshuaproject.net/languages/ahr	
Aikana	Masaká, Tubanao, Massaca, Aikanã, Aikaná, Corumbiara, Huari, Kasupá, Kolumbiara, Mondé, Tubarão, Uari, Wari	tba			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tba	Brazil																											https://www.scriptureearth.org/data/tba/video/JESUSFilm-tba.txt																		language map: https://joshuaproject.net/languages/tba	
Aimol	Langrong	aim			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aim	India																					https://www.bible.com/bible/1533/MAT.1	https://www.globalrecordings.net/en/language/aim																							language map: https://joshuaproject.net/languages/aim	
Ainu	Hokkaido, Kuril, Sakhalin, Taraika, Ezo, Saghilin, Shikotan, Tsishima, Yezo, Ainu Itak	ain			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ain	Japan																					Ashiri Aeuitaknup 1897 (AINU): https://www.bible.com/en-GB/bible/1944/MAT.1	https://www.globalrecordings.net/en/language/ain																							language map: https://joshuaproject.net/languages/ain	
Aja-Gbe	Dogbo, Hwe, Sikpi, Tado, Tala, Ehoue, Shikpi, Tadou, Aja, Adja, Ajagbe, Hwè, Dogo	ajg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ajg	Benin, Togo																											https://www.scriptureearth.org/data/ajg/video/JESUSFilm-ajg.txt																			
Ajië	A'jie, Anjie, Houaïlou, Waawilûû, Wai, Wailu	aji			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aji	New Caledonia																					https://www.bible.com/bible/924/MAT.1	https://www.globalrecordings.net/en/language/aji																							language map: https://joshuaproject.net/languages/aji	
Ajyininka Apurucayali	Ajyéninka, Apurucayali Campa, Ashaninca, Ashéninca Apurucayali, Axininka Campa, Campa, Ajyíninka Apurucayali	cpc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=cpc	Peru	27				1										1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.cpc.nt.apk		New Testament: https://virtualstorehouse.org/products/ajyininka-apurucayali-nt-cpc		https://www.bible.com/bible/579/MAT.1	https://www.globalrecordings.net/en/language/cpc	1		https://www.scriptureearth.org/data/cpc/study/cpc.bbl.mybible																				Languages of Peru: https://joshuaproject.net/languages/cpc	
Akan: Akuapem	Akan, Akuapem	aka	02272		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aka&rod=02272	Ghana																				https://live.bible.is/bible/AK1UBS							https://www.scriptureearth.org/data/aka/video/JESUSFilm-akaAK.txt																		language map: https://joshuaproject.net/languages/aka	
Akan: Asante	Akan, Asante	aka	00360		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aka&rod=00360	Ghana																				 - 1964 New Testament: https://live.bible.is/bible/AKAUBS ##  - Nkwa Asɛm Apam Foforɔ Ne Nnwom (Asante Twi Contemporary Version): https://live.bible.is/bible/AKABIB							https://www.scriptureearth.org/data/aka/video/JESUSFilm-akaAS.txt																		language map: https://joshuaproject.net/languages/aka	
Akan: Fante	Akan, Fante, Abura Fanti, Agona, Ahafo, Akuapem, Akyem, Anomabo Fanti, Asante, Asen, Dankyira, Gomua, Kwawu, Achanti, Akuapim, Akwapem Twi, Akwapi, Akyem Bosome, Asanti, Ashante Twi, Fanti, Kwahu, Mfantse, Twi	aka	00181		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aka&rod=00181	Ghana																			Fante Bibles: https://www.zakbijbelbond.nl/en/fante-bibles/ ## Twi-Akuapem Bibles: https://www.zakbijbelbond.nl/en/twi-akuapem-bibles/ ## Twi-Asante Bibles: https://www.zakbijbelbond.nl/en/twi-asante-bibles/ ## https://multilanguagemedia.org/languages/fante/	https://live.bible.is/bible/AKAFAN							https://www.scriptureearth.org/data/aka/video/JESUSFilm-akaF.txt																		language map: https://joshuaproject.net/languages/aka	
