JesusFilm	The JESUS Film — Burmese Musselmani [mya]	images
25	The Lord’s Prayer	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/burmese-musselmani.html
26	Teaching About Prayer and Faith	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-musselmani.html
27	Woe To Those Who Cause Others to Sin	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-musselmani.html
28	Kingdom of God as a Mustard Seed	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-musselmani.html
29	Jesus Spends Time with Sinners	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-musselmani.html
30	Healing on the Sabbath	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-musselmani.html
31	Parable of the Good Samaritan	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-musselmani.html
32	Healing of Bartimaeus	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-musselmani.html
33	Jesus and Zaccheus	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-musselmani.html
34	Jesus Predicts His Death and Resurrection	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-musselmani.html
35	Jesus’ Triumphal Entry	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-musselmani.html
36	Jesus Weeps Over Jerusalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-musselmani.html
37	Jesus Drives Out Money Changers	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-musselmani.html
38	Widow’s Offering	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-musselmani.html
39	Annas Questions Jesus’ Authority	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-musselmani.html
40	Parable of the Vineyard and Tenants	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-musselmani.html
41	Paying Taxes To Caesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-musselmani.html
42	The Last Supper	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-musselmani.html
43	Upper Room Teaching	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-musselmani.html
44	Jesus is Betrayed and Arrested	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-musselmani.html
45	Peter Disowns Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-musselmani.html
46	Jesus is Mocked and Questioned	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-musselmani.html
47	Jesus Is Brought To Pilate	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-musselmani.html
48	Jesus Is Brought to Herod	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-musselmani.html
49	Jesus Is Sentenced	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-musselmani.html
50	Jesus Carries His Cross	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-musselmani.html
51	Jesus Is Crucified	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-musselmani.html
52	Soldiers Gamble For Jesus’ Clothes	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-musselmani.html
53	Sign on the Cross	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-musselmani.html
54	Crucified Convicts	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-musselmani.html
55	Death of Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-musselmani.html
56	Burial of Jesus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-musselmani.html
57	Angels at the Tomb	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-musselmani.html
58	The Tomb Is Empty	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-musselmani.html
59	Resurrected Jesus Appears	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-musselmani.html
60	Great Commission and Ascension	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-musselmani.html
61	Invitation To Know Jesus Personally	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-musselmani.html
